NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name
3509526	AFUA_4G06890	14-alpha sterol demethylase Cyp51A	Aspergillus fumigatus Af293	
3513640	AFUA_2G07680	L-ornithine N5-oxygenase SidA	Aspergillus fumigatus Af293	
3511045	AFUA_5G09360	calcineurin catalytic subunit CnaA	Aspergillus fumigatus Af293	
3508160	AFUA_6G09660	nonribosomal peptide synthase GliP	Aspergillus fumigatus Af293	
3508187	AFUA_6G09930	bZIP transcription factor AP-1/Yap1, putative	Aspergillus fumigatus Af293	
3505356	AFUA_5G03490	nucleoside diphosphate kinase	Aspergillus fumigatus Af293	
3506605	AFUA_7G05620	APSES transcription factor (MbpA), putative	Aspergillus fumigatus Af293	
3509030	AFUA_4G10330	CaaX farnesyltransferase beta subunit Ram1	Aspergillus fumigatus Af293	
3509722	AFUA_4G10010	Hsp90 co-chaperone Cdc37	Aspergillus fumigatus Af293	
3510437	AFUA_1G12490	sexual development activator VeA	Aspergillus fumigatus Af293	
3511405	AFUA_5G08420	high osmolarity signaling protein Sho1, putative	Aspergillus fumigatus Af293	
3511985	AFUA_3G08990	cell surface protein, putative	Aspergillus fumigatus Af293	
3512323	AFUA_3G10000	cAMP-dependent protein kinase regulatory subunit PkaR	Aspergillus fumigatus Af293	
3513486	AFUA_2G12200	cAMP-dependent protein kinase catalytic subunit PkaC1	Aspergillus fumigatus Af293	
3509858	AFUA_1G14660	regulator of secondary metabolism LaeA	Aspergillus fumigatus Af293	
3510755	AFUA_5G09100	MAP kinase MpkC	Aspergillus fumigatus Af293	
3513229	AFUA_2G07900	APSES transcription factor StuA	Aspergillus fumigatus Af293	
3507334	AFUA_1G04830	transcription factor AbaA	Aspergillus fumigatus Af293	
3510052	AFUA_1G16590	C2H2 type conidiation transcription factor BrlA	Aspergillus fumigatus Af293	
3503902	AFUA_4G04040	phosphopantetheinyl transferase PptB	Aspergillus fumigatus Af293	
3504130	AFUA_7G02500	polysaccharide synthase Cps1, putative	Aspergillus fumigatus Af293	
3504159	AFUA_7G01220	farnesyl-diphosphate farnesyltransferase, putative	Aspergillus fumigatus Af293	
3504251	AFUA_7G02380	ferulic acid esterase (FaeA), putative	Aspergillus fumigatus Af293	
3504437	AFUA_8G01410	class V chitinase ChiB1	Aspergillus fumigatus Af293	
3504496	AFUA_8G00440	steroid monooxygenase, putative	Aspergillus fumigatus Af293	
3504830	AFUA_8G04500	mannosyltransferase PMTI	Aspergillus fumigatus Af293	
3504957	AFUA_8G04340	cystathionine gamma-lyase	Aspergillus fumigatus Af293	
3504960	AFUA_8G07080	elastinolytic metalloproteinase Mep	Aspergillus fumigatus Af293	
3505180	AFUA_6G03440	fructosyl amino acid oxidase, putative	Aspergillus fumigatus Af293	
3505192	AFUA_6G05300	CCAAT-binding factor complex subunit HapE	Aspergillus fumigatus Af293	
3505331	AFUA_6G02860	isocitrate lyase	Aspergillus fumigatus Af293	
3505544	AFUA_5G01980	histone deacetylase HdaA	Aspergillus fumigatus Af293	
3505667	AFUA_5G03920	bZIP transcription factor HapX	Aspergillus fumigatus Af293	
3505886	AFUA_3G03640	MFS siderochrome iron transporter MirB	Aspergillus fumigatus Af293	
3506240	AFUA_7G05450	SUN domain protein (Uth1), putative	Aspergillus fumigatus Af293	
3506329	AFUA_7G05060	MgtC/SapB family membrane protein	Aspergillus fumigatus Af293	
3506370	AFUA_7G03740	14-alpha sterol demethylase Cyp51B	Aspergillus fumigatus Af293	
3506582	AFUA_7G05180	Defensin domain protein	Aspergillus fumigatus Af293	
3506941	AFUA_2G01900	RNA polymerase II transcription elongation factor Rtf1p, putative	Aspergillus fumigatus Af293	
3507101	AFUA_2G05060	alternative oxidase AlxA, putative	Aspergillus fumigatus Af293	
3507629	AFUA_1G06210	N-acetylglucosamine-phosphate mutase	Aspergillus fumigatus Af293	
3507698	AFUA_1G06900	C2H2 transcription factor Crz1, putative	Aspergillus fumigatus Af293	
3507713	AFUA_1G07070	cyclin-dependent protein kinase regulator Pho80	Aspergillus fumigatus Af293	
3508164	AFUA_6G09700	gliotoxin biosynthesis protein GliK	Aspergillus fumigatus Af293	
3508165	AFUA_6G09710	MFS gliotoxin efflux transporter GliA	Aspergillus fumigatus Af293	
3508349	AFUA_6G11610	1,4-beta-D-glucan-cellobiohydrolyase, putative	Aspergillus fumigatus Af293	
