"","V1"
"1","rRNA processing"
"2","structural constituent of ribosome"
"3","preribosome. large subunit precursor"
"4","ribosomal large subunit biogenesis"
"5","small-subunit processome"
"6","cytosolic large ribosomal subunit"
"7","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA. 5.8S rRNA. LSU-rRNA)"
"8","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA. 5.8S rRNA. LSU-rRNA)"
"9","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA. 5.8S rRNA. LSU-rRNA)"
"10","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA. 5.8S rRNA. LSU-rRNA)"
"11","ribosomal small subunit biogenesis"
"12","preribosome. small subunit precursor"
"13","mitochondrial ribosome"
"14","ribosomal large subunit assembly"
"15","cytosolic small ribosomal subunit"
"16","cytoplasmic translation"
"17","ribosomal large subunit export from nucleus"
"18","RNA polymerase I activity"
"19","tRNA methylation"
"20","eukaryotic translation initiation factor 3 complex. eIF3m"
