"","V1"
"1","cytosolic large ribosomal subunit"
"2","structural constituent of ribosome"
"3","cytosolic small ribosomal subunit"
"4","cytoplasmic translation"
"5","nucleolus"
"6","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA. 5.8S rRNA. LSU-rRNA)"
"7","rRNA processing"
"8","small-subunit processome"
"9","ribosomal large subunit biogenesis"
"10","preribosome. large subunit precursor"
"11","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA. 5.8S rRNA. LSU-rRNA)"
"12","ribosomal small subunit assembly"
