"","V1"
"1","intracellular anatomical structure"
"2","fumitremorgin B biosynthetic process"
"3","pseurotin A biosynthetic process"
"4","cytosolic large ribosomal subunit"
"5","prenyltransferase activity"
"6","ribosomal large subunit biogenesis"
"7","secondary metabolic process"
"8","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA. 5.8S rRNA. LSU-rRNA)"
"9","rRNA processing"
"10","fumagillin biosynthetic process"
"11","structural constituent of ribosome"
"12","small-subunit processome"
"13","nucleolus"
