pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"1.3-beta-glucanosyltransferase activity"	0.67741935483871	1	0.0707899094502623	-0.395883781431664	-0.838690227461285	7	Afu8g02130 Afu2g01170 Afu6g12410
"2 iron. 2 sulfur cluster binding"	0.633640552995392	1	0.0741758965588009	-0.41191316410257	-0.87264889722469	7	Afu3g04300
"3'-5'-RNA exonuclease activity"	0.350446428571429	0.906263406263406	0.105920292736253	-0.554268743942202	-1.12228173070376	6	Afu4g12250 Afu7g00870 Afu3g09880 Afu4g12750
"90S preribosome"	0.165898617511521	0.733565315527133	0.16440575583821	-0.614711389648388	-1.30228228431793	7	Afu5g03090 Afu3g04110 Afu3g06010 Afu6g04590 Afu6g13370
"ATP binding"	0.0894104576656204	0.660674426020408	0.287805130535564	-0.45076773996949	-1.39578345700586	27	Afu6g03580 Afu6g04050 Afu6g06870 Afu4g08300 Afu3g09360 Afu4g13440 Afu5g05570 Afu5g12990
"ATP export"	0.619164619164619	1	0.0787113806986485	-0.383568568691084	-0.885560952455903	9	Afu5g06520 Afu1g16320 Afu5g13890 Afu3g14380
"ATP hydrolysis activity"	0.0303168415081787	0.491387289368825	0.352487857583619	-0.441588473358604	-1.55783007166119	60	Afu2g09060 Afu6g04170 Afu2g10140 Afu4g09440 Afu6g03580 Afu3g10890 Afu5g10890 Afu4g06710 Afu5g01870 Afu5g11130 Afu4g08300 Afu5g07020 Afu1g09800 Afu3g05530 Afu7g05660 Afu3g09360 Afu8g03930 Afu4g13440 Afu5g05570 Afu3g08000 Afu5g13370
"Arp2/3 complex-mediated actin nucleation"	0.73826714801444	1	0.0549073703290958	0.40941512125535	0.743194095327583	6	Afu5g01860 Afu1g13330 Afu6g06500 Afu5g11560 Afu3g10700 Afu6g02370
"Arp2/3 protein complex"	0.73826714801444	1	0.0549073703290958	0.40941512125535	0.743194095327583	6	Afu5g01860 Afu1g13330 Afu6g06500 Afu5g11560 Afu3g10700 Afu6g02370
"CMG complex"	0.40625	0.939608095085127	0.096887770327544	-0.532601940693725	-1.07841085089269	6	Afu3g14010 Afu5g10890 Afu4g11620
"COP9 signalosome"	0.175059952038369	0.753353445484141	0.163180127180689	-0.574028550061348	-1.27811028591556	8	Afu8g04880 Afu8g04440 Afu8g05500
"COPII-coated ER to Golgi transport vesicle"	0.0731707317073171	0.660674426020408	0.276500599254472	-0.599844117224153	-1.50325001784303	12	Afu8g02130 Afu6g06620 Afu6g07290 Afu4g04630 Afu1g11770 Afu4g13190 Afu2g10930 Afu1g11470 Afu7g04290
"DNA binding"	0.863636363636364	1	0.088894528862045	-0.233843859083501	-0.731281982968507	30	Afu4g07290 Afu4g04390
"DNA damage checkpoint signaling"	0.56639566395664	1	0.088894528862045	-0.364342341107226	-0.913066603545173	12	Afu5g12660 Afu5g06750 Afu4g12680 Afu6g13160 Afu1g07000 Afu1g04950 Afu5g12110 Afu4g04760 Afu2g03290
"DNA damage response"	0.205128205128205	0.769437718590261	0.224966093540314	-0.356650319199034	-1.16955944922356	40	Afu8g04880 Afu6g10965 Afu3g14010 Afu6g10980 Afu5g09540 Afu3g12250 Afu8g05500 Afu5g12660 Afu6g11410 Afu1g07320 Afu1g09950 Afu5g12250
"DNA methylation"	0.725446428571429	1	0.0658311958368866	-0.390463259508094	-0.790608865187373	6	Afu5g01980
"DNA recombination"	0.232142857142857	0.785900297619048	0.134273452883202	-0.619935058524589	-1.2552426923021	6	Afu2g10500 Afu5g12050 Afu2g08750 Afu4g06970 Afu2g03210
"DNA repair"	0.998757763975155	1	0.0225842720346634	0.175339944790921	0.443820193896542	39	Afu4g10540 Afu4g09820 Afu2g09560 Afu7g01280 Afu6g14210 Afu2g12030 Afu3g06180 Afu4g06830 Afu3g08220 Afu7g01870 Afu6g12910 Afu7g02200 Afu2g12220 Afu6g11470 Afu2g10730 Afu2g05530 Afu5g13220 Afu5g12600 Afu4g04760 Afu1g10410 Afu2g16850 Afu1g07000 Afu2g06140 Afu2g04960 Afu1g15120 Afu7g05320 Afu2g06320 Afu4g06970 Afu2g09010 Afu4g10660 Afu4g12210 Afu2g15220 Afu5g02570 Afu1g14310 Afu2g16700 Afu3g06000 Afu1g07320 Afu6g11410 Afu3g06780
"DNA replication initiation"	0.0668202764976959	0.660674426020408	0.266350657088526	-0.692970956340917	-1.46807723947628	7	Afu8g04240 Afu2g09060 Afu2g17050
"DNA replication origin binding"	0.0184609196151623	0.451867945851313	0.352487857583619	-0.667824331205397	-1.63278753330875	11	Afu8g04240 Afu2g09060 Afu3g14010 Afu5g10890
"DNA replication preinitiation complex"	0.077120822622108	0.660674426020408	0.261663521711573	-0.620758439122052	-1.47378930397712	10	Afu8g04240 Afu2g09060 Afu3g14010 Afu5g10890 Afu4g11620
"DNA strand elongation involved in DNA replication"	0.038314026456568	0.508199535810391	0.321775918075361	-0.628190612054083	-1.57428825533725	12	Afu2g09060 Afu4g07970 Afu3g14010 Afu5g10890 Afu5g01870 Afu6g05040
"DNA translocase activity"	0.837053571428571	1	0.0589694466690997	-0.32542060185229	-0.658910682308889	6	Afu3g02330 Afu3g05560
"DNA-binding transcription activator activity. RNA polymerase II-specific"	0.623306233062331	1	0.0835990603684159	-0.348815004669622	-0.874154045921206	12	Afu6g12522 Afu3g13920 Afu3g06740 Afu3g03315 Afu7g05620 Afu3g00690 Afu2g03460
"DNA-binding transcription factor activity"	0.188888888888889	0.760407702237522	0.197822021315103	-0.400976284188726	-1.22606683962661	26	Afu1g11620 Afu1g04830 Afu6g12522 Afu6g04570 Afu8g07180 Afu8g02710 Afu5g06410 Afu6g05300 Afu5g11070
"DNA-binding transcription factor activity. RNA polymerase II-specific"	0.0262075787189931	0.486712176209872	0.352487857583619	0.827994757758261	1.55840563425651	7	Afu5g00135 Afu3g08050
"DNA-directed 5'-3' RNA polymerase activity"	0.159383033419023	0.732893541112719	0.178219874951973	-0.546109727436042	-1.2965601824623	10	Afu1g14110 Afu5g09430 Afu2g05480 Afu6g04610 Afu2g15610 Afu2g08540
"DNA-directed DNA polymerase activity"	0.147420147420147	0.731474013916762	0.181383128498408	-0.576823349992075	-1.33173642710329	9	Afu4g07970 Afu5g12640 Afu3g09560 Afu3g06780 Afu5g13020
"DNA-templated DNA replication"	0.829493087557604	1	0.0609039347452418	-0.330264277227512	-0.699673577908601	7	Afu3g09560 Afu4g11620 Afu4g12210
"DNA-templated transcription termination"	0.194196428571429	0.760407702237522	0.148261500475107	-0.635192833846626	-1.2861365911233	6	Afu2g11000 Afu6g02060 Afu2g05480 Afu5g05680 Afu5g05920
"G protein-coupled receptor signaling pathway"	0.825892857142857	1	0.0596037042575973	-0.334318320766252	-0.676926757527301	6	Afu1g13140 Afu4g13170 Afu2g12200 Afu6g06860 Afu1g12930 Afu6g08520
