pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"1.3-beta-glucanosyltransferase activity"	0.565454545454545	1	0.0679922591544058	-0.473320023250437	-0.903797858784345	7	Afu8g02130 Afu2g12850
"2 iron. 2 sulfur cluster binding"	0.903636363636364	1	0.0459538081039063	-0.305592475207034	-0.58352448910996	7	Afu3g04300 Afu4g06770 Afu5g07750 Afu4g05950 Afu6g07670 Afu2g14960 Afu6g12490
"3'-5'-RNA exonuclease activity"	0.988950276243094	1	0.0424170054438747	-0.224528541263574	-0.419923895228928	6	Afu3g09880 Afu3g11820 Afu4g12750 Afu4g12250
"90S preribosome"	0.109090909090909	1	0.181383128498408	-0.760674041376524	-1.4524962732565	7	Afu5g03090 Afu3g04110 Afu6g13370 Afu3g11110 Afu6g04590 Afu3g06010
"ATP binding"	0.936386768447837	1	0.0598603117764473	0.222073227631399	0.64081715225131	27	Afu1g07440 Afu1g12610 Afu5g04170 Afu5g11700 Afu5g11560 Afu3g14470 Afu5g05510 Afu5g05570
"ATP export"	0.858064516129032	1	0.0560595875032335	0.289911169980527	0.653846379507924	9	Afu5g13890 Afu4g12290 Afu4g04100 Afu3g14380
"ATP hydrolysis activity"	0.317880794701987	1	0.140406238523342	0.314529635832955	1.0866058816196	60	Afu4g09440 Afu1g02480 Afu2g09290 Afu4g10000 Afu5g10890 Afu5g04170 Afu2g09960 Afu2g17110 Afu2g11110 Afu1g15270 Afu4g09360 Afu5g11130 Afu2g02170 Afu3g10890 Afu7g03890 Afu6g04170 Afu3g05530 Afu4g07310 Afu2g05510 Afu5g11700 Afu1g02170 Afu2g10150 Afu5g05570
"Arp2/3 complex-mediated actin nucleation"	0.483660130718954	1	0.0855356947987884	0.494499207382772	0.997688628416103	6	Afu5g11560 Afu1g13330 Afu5g01860 Afu6g02370 Afu6g06500
"Arp2/3 protein complex"	0.483660130718954	1	0.0855356947987884	0.494499207382772	0.997688628416103	6	Afu5g11560 Afu1g13330 Afu5g01860 Afu6g02370 Afu6g06500
"CMG complex"	0.115468409586057	1	0.193813302725311	0.696114260797112	1.40446187113495	6	Afu4g11620 Afu5g10890 Afu5g02520
"COP9 signalosome"	0.711496746203905	1	0.0653834195468773	0.358588957055215	0.783326172708291	8	Afu2g16250 Afu5g07260 Afu3g06610 Afu8g04880 Afu8g04440 Afu8g05500 Afu3g06700 Afu4g12630
"COPII-coated ER to Golgi transport vesicle"	0.493457943925234	1	0.0762797180809272	-0.445455291171064	-0.948684130711285	12	Afu8g02130 Afu2g01530 Afu6g06620 Afu4g03040 Afu4g13190 Afu1g11470 Afu2g10930 Afu2g16800
