pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"1.3-beta-glucanosyltransferase activity"	0.81592039800995	1	0.0653834195468773	0.321059717001701	0.707761100752325	7	Afu8g02130 Afu2g01170 Afu6g11390
"2 iron. 2 sulfur cluster binding"	0.691542288557214	1	0.0736212741014394	0.375285904990452	0.8273001910466	7	Afu3g04300 Afu4g05950
"3'-5'-RNA exonuclease activity"	0.17359413202934	0.737491410582163	0.165656695205483	0.624248609963585	1.30830369113762	6	Afu7g00870 Afu4g12250 Afu3g09880 Afu4g12750
"90S preribosome"	0.000697842709627482	0.0174460677406871	0.477270815362862	0.858572449708976	1.89268273128898	7	Afu3g04110 Afu5g03090 Afu6g13370 Afu3g11110 Afu6g04590 Afu3g13280 Afu3g06010
"ATP binding"	0.862937062937063	1	0.035996889024589	-0.261339497578546	-0.692007197118901	27	Afu7g02200 Afu2g13410 Afu5g04170 Afu3g14470 Afu1g07440 Afu1g12610 Afu1g10410
"ATP export"	0.287206266318538	0.900115797390381	0.130105630751129	0.481885536279609	1.16122537178923	9	Afu5g06520 Afu1g16320 Afu4g12290
"ATP hydrolysis activity"	0.576923076923077	1	0.133554954557592	0.244044930735702	0.951656745810326	60	Afu6g03580 Afu8g03930 Afu2g15130 Afu5g07020 Afu3g10890 Afu4g13440 Afu4g11820 Afu1g09800 Afu2g09060 Afu6g04170 Afu2g10140 Afu5g11700 Afu7g05660 Afu1g02480 Afu5g05570 Afu7g03710 Afu3g05530 Afu5g13370
"Arp2/3 complex-mediated actin nucleation"	0.731051344743276	1	0.0699458736501659	0.378292832346335	0.792828211373168	6	Afu6g02370 Afu3g10700 Afu6g06500 Afu1g13330 Afu5g11560 Afu5g01860
"Arp2/3 protein complex"	0.731051344743276	1	0.0699458736501659	0.378292832346335	0.792828211373168	6	Afu6g02370 Afu3g10700 Afu6g06500 Afu1g13330 Afu5g11560 Afu5g01860
"CMG complex"	0.829679595278246	1	0.0464154956843849	-0.352006216766058	-0.677032154205145	6	Afu4g11620
"COP9 signalosome"	0.408060453400504	1	0.103958471559957	0.448261342128122	1.04066100433152	8	Afu8g04880 Afu8g04440 Afu5g07260 Afu4g12630 Afu3g06610 Afu2g16250
"COPII-coated ER to Golgi transport vesicle"	0.0486416577471558	0.38557411628843	0.321775918075361	0.596917565385591	1.58680244763202	12	Afu6g07290 Afu8g02130 Afu2g10930 Afu4g03040 Afu6g06620 Afu2g16800 Afu1g11470 Afu4g13190
"DNA binding"	0.989285714285714	1	0.0738052724171275	0.162587538938957	0.546682112151079	30	Afu2g13090 Afu3g10920 Afu4g04390 Afu5g04190 Afu2g14080 Afu2g05540 Afu5g04220 Afu2g05830 Afu8g05570 Afu1g03840 Afu6g05300
"DNA damage checkpoint signaling"	0.954545454545455	1	0.0613026075396207	0.236532861958278	0.628781838675411	12	Afu1g04950 Afu1g07000 Afu7g03750 Afu5g12660 Afu2g09710 Afu2g03290 Afu4g12680 Afu5g06750
"DNA damage response"	0.966101694915254	1	0.0840745577910723	0.196926229508197	0.705913082262823	40	Afu5g10740 Afu8g04880 Afu6g10980 Afu3g14010 Afu7g05440 Afu2g05850 Afu1g07000 Afu7g03750 Afu5g07320 Afu4g11070 Afu1g09950 Afu5g12660 Afu3g12250 Afu5g12250
"DNA methylation"	0.687041564792176	1	0.0730744399126987	0.390166089362444	0.81771224913003	6	Afu6g07550 Afu2g03390 Afu4g13320 Afu1g13790 Afu5g01980
"DNA recombination"	0.858347386172007	1	0.0448645113168564	-0.333726168144995	-0.641873170904807	6	Afu2g08750 Afu2g03210
"DNA repair"	0.748031496062992	1	0.0396787203613389	-0.280066992738427	-0.779989281929443	39	Afu7g02200 Afu5g12600 Afu4g06830 Afu4g10540 Afu6g12910 Afu1g10410 Afu5g13220 Afu6g14210 Afu4g10660
"DNA replication initiation"	0.398009950248756	1	0.104732821580651	0.472894192366519	1.04247308648483	7	Afu2g17050 Afu8g04240 Afu2g09060 Afu5g02520
"DNA replication origin binding"	0.453333333333333	1	0.100990587455923	0.382932270155319	0.981400294708208	11	Afu8g04240 Afu2g09060 Afu3g14010 Afu5g02520 Afu5g10890 Afu1g10720 Afu2g03290
"DNA replication preinitiation complex"	0.823834196891192	1	0.0668966276500666	0.290543078429496	0.72219436377753	10	Afu8g04240 Afu2g09060 Afu3g14010 Afu5g02520 Afu5g10890 Afu5g13380 Afu4g12430 Afu6g08210
"DNA strand elongation involved in DNA replication"	0.0828877005347594	0.544212175228218	0.257206466468838	0.560896772694314	1.49104737972538	12	Afu2g09060 Afu3g08300 Afu3g14010 Afu1g04900 Afu6g05040 Afu5g10890 Afu4g07970 Afu2g16600 Afu6g10560
"DNA translocase activity"	0.645476772616137	1	0.0762797180809272	0.406506503973088	0.851958580493221	6	Afu3g02330 Afu3g05560 Afu4g13460
"DNA-binding transcription activator activity. RNA polymerase II-specific"	0.885026737967914	1	0.0649407684612899	0.252905130671011	0.672304692706137	12	Afu6g12522 Afu3g03315 Afu3g06740 Afu3g00690 Afu7g05620
"DNA-binding transcription factor activity"	0.837110481586402	1	0.0380056241581377	-0.268335880894623	-0.704816952624868	26	Afu1g16590 Afu3g10120 Afu3g12890 Afu1g15470 Afu5g07510 Afu5g08020
"DNA-binding transcription factor activity. RNA polymerase II-specific"	0.68407960199005	1	0.0741758965588009	0.378832215368742	0.835117866089698	7	Afu2g13380 Afu3g08050 Afu3g06740
"DNA-directed 5'-3' RNA polymerase activity"	0.0242241011406528	0.228198054223541	0.352487857583619	0.662306908688219	1.64627675569157	10	Afu2g05480 Afu6g04610 Afu1g14110 Afu3g08040 Afu2g15610
