pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"1.3-beta-glucanosyltransferase activity"	0.780645161290323	1	0.0605092988656667	-0.359752142542126	-0.713782020966439	7	Afu2g01170 Afu6g12410
"2 iron. 2 sulfur cluster binding"	0.948387096774194	1	0.0514264916187015	-0.26828569629721	-0.532304005602932	7	Afu3g04300 Afu5g07750 Afu6g07670
"3'-5'-RNA exonuclease activity"	0.255083179297597	1	0.114266502484433	0.65185323922557	1.20126104739866	6	Afu7g00870 Afu4g12750
"90S preribosome"	0.0233259221803135	0.421810426094002	0.352487857583619	-0.794246659185964	-1.57585992826496	7	Afu3g13280 Afu6g13370 Afu3g11110 Afu6g04590 Afu5g03090 Afu3g04110 Afu3g06010
"ATP binding"	0.949096880131363	1	0.0390355298112393	0.237340759055384	0.598408004888286	27	Afu6g04050 Afu5g11700 Afu1g07440 Afu2g13410 Afu2g15130 Afu1g10410 Afu5g04170 Afu5g12990 Afu1g12610 Afu2g02680 Afu4g13440 Afu3g09360 Afu2g15760 Afu5g11560 Afu3g09850 Afu1g13330 Afu4g08300 Afu5g11810 Afu4g00960
"ATP export"	0.616236162361624	1	0.0645031249656493	0.455942480071609	0.902136083813732	9	Afu4g12290 Afu2g04720 Afu4g04100 Afu5g13410
"ATP hydrolysis activity"	1	1	0.0322878452489437	0.157223084150572	0.445382784329388	60	Afu5g03600 Afu1g15270 Afu5g11700 Afu2g09960 Afu3g08000 Afu7g03890 Afu2g13410 Afu2g17110 Afu4g11820 Afu4g12680 Afu5g11010 Afu2g04620 Afu2g15130 Afu2g15960 Afu1g10410 Afu5g04170
"Arp2/3 complex-mediated actin nucleation"	0.778741865509761	1	0.0610363728309177	-0.388412892696858	-0.730790238427689	6	Afu6g02370 Afu5g01860 Afu3g10700 Afu6g06500 Afu1g13330 Afu5g11560
"Arp2/3 protein complex"	0.778741865509761	1	0.0610363728309177	-0.388412892696858	-0.730790238427689	6	Afu6g02370 Afu5g01860 Afu3g10700 Afu6g06500 Afu1g13330 Afu5g11560
"CMG complex"	0.943600867678959	1	0.0520570030732099	-0.291017688147625	-0.547543322342962	6	Afu5g02520 Afu5g10890
"COP9 signalosome"	0.678111587982833	1	0.0672065093710464	-0.392470924301163	-0.804159262811995	8	Afu3g06700 Afu5g07260 Afu3g06610 Afu4g12630 Afu8g04880 Afu2g16250 Afu8g04440 Afu8g05500
"COPII-coated ER to Golgi transport vesicle"	0.353467561521253	1	0.105520936843198	-0.501425724152541	-1.12885221224285	12	Afu4g03040 Afu2g10930 Afu2g16800 Afu6g06620 Afu1g11470 Afu7g04290 Afu4g13190 Afu6g07290
"DNA binding"	0.972536348949919	1	0.0371479221137289	0.215784529237022	0.551093031858522	30	Afu4g07290 Afu3g12730 Afu6g12330 Afu2g14720 Afu5g07510 Afu1g14680 Afu7g01920 Afu2g08620 Afu4g04390 Afu2g01260
"DNA damage checkpoint signaling"	0.985585585585586	1	0.0415717899246479	0.211879975505205	0.447129121912679	12	Afu5g12110 Afu4g12680 Afu1g07000 Afu4g04760 Afu6g13160 Afu2g03290
"DNA damage response"	0.888540031397174	1	0.0400031517498194	0.26251547427522	0.709577595186454	40	Afu5g07320 Afu3g14230 Afu2g12940 Afu1g10470 Afu4g12680 Afu2g16130 Afu4g07170 Afu7g05440 Afu5g04130 Afu5g06040 Afu6g10980 Afu6g11410 Afu3g12250 Afu1g13790 Afu5g13220 Afu1g09950 Afu3g14010 Afu8g05500 Afu1g07000 Afu4g04760 Afu6g13160 Afu2g12030 Afu4g06800 Afu4g10660
"DNA methylation"	0.885032537960955	1	0.0550211117163117	-0.340005729246984	-0.639713234589016	6	Afu6g07550 Afu4g13320 Afu5g01980
"DNA recombination"	0.752310536044362	1	0.0551351763385257	0.412069662713888	0.75937834599239	6	Afu2g08750 Afu4g06970 Afu5g12050 Afu3g09850
"DNA repair"	0.889064976228209	1	0.0404114482034376	0.259420820534082	0.697270356408401	39	Afu5g12600 Afu2g12220 Afu3g06000 Afu4g10540 Afu4g09820 Afu6g12910 Afu4g06830 Afu1g10410 Afu2g06320 Afu2g05530 Afu2g15220 Afu2g09010 Afu6g11410 Afu1g15120 Afu4g06970 Afu5g13220 Afu7g01870 Afu1g07000 Afu4g04760 Afu2g12030 Afu2g04960 Afu2g06140 Afu4g10660
