pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"1.3-beta-glucanosyltransferase activity"	0.457627118644068	1	0.0751181635276302	0.51392681717194	1.01232264836267	7	Afu8g02130 Afu3g13200 Afu2g05340 Afu6g11390
"2 iron. 2 sulfur cluster binding"	0.570388349514563	1	0.0824344091527096	-0.452852953678581	-0.935384183127768	7	Afu5g07750 Afu6g12490 Afu4g05950
"3'-5'-RNA exonuclease activity"	0.400690846286701	1	0.083129129135339	0.576205694096148	1.08839518124738	6	Afu7g00870 Afu3g09880
"90S preribosome"	0.701456310679612	1	0.0716527366829457	-0.388968189233279	-0.803427887558607	7	Afu3g13280 Afu3g06010 Afu6g13370 Afu5g03090 Afu3g04110 Afu3g11110 Afu6g04590
"ATP binding"	0.444816053511706	1	0.0758886900606117	0.374574729833034	1.00177923782063	27	Afu2g15130 Afu6g03580 Afu6g04050 Afu1g07440 Afu1g12610 Afu2g13410 Afu5g04170 Afu7g02200 Afu2g02680 Afu5g12990
"ATP export"	0.843033509700176	1	0.0477342401407188	0.319358350153856	0.660897520240988	9	Afu5g06520 Afu2g04720 Afu5g13410 Afu4g12290 Afu1g16320 Afu4g04100 Afu3g14380 Afu2g11760 Afu5g13890
"ATP hydrolysis activity"	0.613223140495868	1	0.059476028695732	0.295125182232645	0.910113691461089	60	Afu2g15130 Afu1g15270 Afu6g03580 Afu7g05660 Afu5g07020 Afu4g09440 Afu3g10890 Afu5g03600 Afu7g03890 Afu2g13410 Afu2g09960 Afu5g04170 Afu2g09290 Afu4g12680 Afu4g10000 Afu7g02200 Afu3g08000 Afu6g04170 Afu4g11820 Afu5g02170 Afu2g02680 Afu2g17110 Afu2g02170 Afu2g15960 Afu5g11010 Afu5g11810
"Arp2/3 complex-mediated actin nucleation"	0.125295508274232	1	0.193813302725311	-0.695789580997044	-1.38793015838963	6	Afu6g02370 Afu6g06500 Afu3g10700 Afu1g13330 Afu5g01860 Afu5g11560
"Arp2/3 protein complex"	0.125295508274232	1	0.193813302725311	-0.695789580997044	-1.38793015838963	6	Afu6g02370 Afu6g06500 Afu3g10700 Afu1g13330 Afu5g01860 Afu5g11560
"CMG complex"	0.656303972366149	1	0.0583452776743612	0.443915629224098	0.83851242130781	6	Afu4g11620 Afu5g10890 Afu3g14010
"COP9 signalosome"	0.207459207459207	1	0.14641623786055	-0.581192643661221	-1.26346653951749	8	Afu5g07260 Afu8g04440 Afu3g06700 Afu3g06610 Afu2g16250
"COPII-coated ER to Golgi transport vesicle"	0.213151927437642	1	0.142056643575821	-0.537070474983661	-1.28515287997372	12	Afu6g07290 Afu2g16800 Afu4g13190 Afu1g11470 Afu2g10930 Afu1g11770 Afu4g03040 Afu2g01530
"DNA binding"	0.925187032418953	1	0.059476028695732	-0.232154988288474	-0.652880583051837	30	Afu2g16820 Afu3g10920 Afu6g05300 Afu2g05830 Afu4g07290
"DNA damage checkpoint signaling"	1	1	0.0404114482034376	0.133522865204679	0.298100970213486	12	Afu5g12110 Afu4g12680 Afu1g04950 Afu2g14920
"DNA damage response"	1	1	0.0367619553883609	0.111979094848576	0.323207324733055	40	Afu5g07320 Afu1g10470 Afu7g01270 Afu3g14230 Afu2g16130 Afu4g12680 Afu2g12940 Afu1g13790 Afu4g06800 Afu5g04130 Afu4g07170 Afu2g14920 Afu6g10965 Afu3g12250 Afu2g12030
"DNA methylation"	0.796690307328605	1	0.0640703750499722	-0.359979850194451	-0.718071819617521	6	Afu5g01980 Afu6g07550
"DNA recombination"	0.775413711583924	1	0.0653834195468773	-0.373712851471924	-0.745465800727291	6	Afu2g10500
"DNA repair"	0.993421052631579	1	0.036993251998507	0.184226677577741	0.528756157928637	39	Afu4g09820 Afu5g12600 Afu2g05530 Afu2g12220 Afu7g02200 Afu7g01870 Afu2g06320 Afu2g09010 Afu2g04960 Afu5g02570 Afu2g12030 Afu4g10540 Afu6g12910 Afu2g15220 Afu4g10660 Afu4g06970 Afu4g06830 Afu2g06140 Afu4g04760 Afu5g13220 Afu1g10410 Afu3g06780 Afu1g07320 Afu3g06180 Afu7g01280 Afu2g10730 Afu2g16700 Afu1g07000 Afu3g08220 Afu6g14210 Afu2g16850 Afu6g11410 Afu7g05320 Afu2g09560 Afu1g14310 Afu4g12210 Afu3g06000 Afu6g11470 Afu1g15120
"DNA replication initiation"	0.98135593220339	1	0.0389556479965885	0.233721927336006	0.46038072456152	7	Afu5g08110 Afu2g17050
"DNA replication origin binding"	0.966490299823633	1	0.041488040200221	0.243166054671563	0.53131997238721	11	Afu5g08110 Afu2g09290 Afu6g04390 Afu5g10890 Afu3g14010 Afu2g09060 Afu2g10730 Afu2g03290 Afu1g10720 Afu5g02520 Afu8g04240
"DNA replication preinitiation complex"	0.782374100719425	1	0.0520570030732099	0.352493023346559	0.742255518539045	10	Afu4g11620 Afu5g08110 Afu5g13380 Afu5g10890 Afu3g14010
"DNA strand elongation involved in DNA replication"	0.600907029478458	1	0.0760837160951725	-0.37063297852391	-0.886885542866106	12	Afu3g08300 Afu2g16600 Afu1g04900 Afu4g07970 Afu6g05040 Afu6g10560 Afu2g09060 Afu2g12250
"DNA translocase activity"	0.66903073286052	1	0.0727141077934447	-0.417167907024162	-0.832148015843277	6	Afu3g02330 Afu5g12190 Afu7g05510 Afu3g05560 Afu4g13460 Afu3g11380
"DNA-binding transcription activator activity. RNA polymerase II-specific"	0.347593582887701	1	0.0928481214159878	0.499031049120068	1.11412857776312	12	Afu3g11960 Afu3g00690 Afu3g13920 Afu3g06740 Afu7g05620 Afu3g03315 Afu6g12522 Afu4g10120 Afu5g06120
"DNA-binding transcription factor activity"	0.589700996677741	1	0.0615706755421678	0.337903559758597	0.900635616841172	26	Afu1g16590 Afu5g10310 Afu4g14540 Afu1g13510 Afu2g11780 Afu5g07510 Afu3g12890 Afu4g12470 Afu5g08020
"DNA-binding transcription factor activity. RNA polymerase II-specific"	0.711864406779661	1	0.0536769600638127	0.405118132141997	0.797993501655544	7	Afu3g11960 Afu5g13310 Afu3g06740
"DNA-directed 5'-3' RNA polymerase activity"	0.640287769784173	1	0.0614364107201271	0.408132651663457	0.859417613764616	10	Afu2g15610 Afu7g01920 Afu4g11970 Afu5g09430 Afu2g08540
"DNA-directed DNA polymerase activity"	0.737931034482759	1	0.066436413766281	-0.347434464986304	-0.782144921229014	9	Afu2g16600 Afu5g13020 Afu4g07970 Afu3g09560 Afu2g08840 Afu2g10730 Afu6g10560
"DNA-templated DNA replication"	0.901694915254237	1	0.042845050912155	0.308191217979915	0.607068826850429	7	Afu4g11620 Afu3g11380 Afu4g12430 Afu6g08210 Afu3g09560 Afu5g03450 Afu4g12210
"DNA-templated transcription termination"	0.770685579196218	1	0.0656813601934011	-0.376694872056275	-0.751414202966986	6	Afu2g11000 Afu5g05920 Afu6g14210 Afu5g05680 Afu2g05480 Afu6g02060
"G protein-coupled receptor signaling pathway"	0.858376511226252	1	0.0459538081039063	0.350209517919894	0.661510907713069	6	Afu6g08520 Afu1g13140 Afu2g12200 Afu6g06860
"G1/S transition of mitotic cell cycle"	0.970521541950113	1	0.052805004567129	-0.211995647057672	-0.507283176135028	12	Afu4g12160 Afu6g11470 Afu5g09360
"G2/M transition of mitotic cell cycle"	0.857142857142857	1	0.0469758727821845	0.307831256560784	0.672614008384959	11	Afu2g07690 Afu6g07980 Afu6g13030 Afu6g08200 Afu5g09200 Afu8g05680 Afu5g06060
"GPI anchor biosynthetic process"	0.40521327014218	1	0.100633389423036	-0.422765926064773	-1.046265666261	15	Afu6g09020 Afu1g16950 Afu2g05040 Afu6g05260 Afu7g01300 Afu1g14870
"GTP binding"	0.380733944954128	1	0.102449405629826	-0.403032446482388	-1.05881984072946	19	Afu5g11230 Afu3g10740 Afu6g10330 Afu2g05740 Afu1g06390 Afu2g10980 Afu2g04820 Afu6g13300 Afu4g04810 Afu2g15570
"GTPase activator activity"	0.989830508474576	1	0.0385579101998489	0.189004635246939	0.456576747393003	17	Afu1g09760 Afu6g12340 Afu2g05390 Afu3g09900 Afu7g04300 Afu3g07680
"GTPase activity"	0.997601918465228	1	0.0541200569620232	-0.179875242867369	-0.531338995993103	36	Afu5g11230 Afu8g02840 Afu3g10740 Afu3g10340 Afu6g10330 Afu1g11730 Afu2g05740 Afu5g09650 Afu2g10980 Afu6g13300 Afu4g04810 Afu2g15570 Afu1g16970 Afu5g12130 Afu5g03080 Afu6g06900 Afu5g03880 Afu5g04320 Afu3g12400 Afu1g12930 Afu1g12170 Afu3g14350 Afu5g13392 Afu5g05480 Afu1g12180 Afu5g13520 Afu5g11010 Afu1g04940 Afu4g11820 Afu3g06690 Afu2g13530 Afu1g06520 Afu5g08950 Afu6g07870 Afu1g13140 Afu5g14060
"Golgi apparatus"	0.933503836317136	1	0.0602484086158019	-0.21869770173233	-0.702726835674199	55	Afu5g09660 Afu1g06030 Afu6g04150 Afu4g09520 Afu2g10930 Afu2g15240 Afu2g01570 Afu4g03040 Afu8g02780 Afu3g08840 Afu1g11730 Afu1g10980 Afu7g05735 Afu5g10760 Afu1g12310 Afu5g11900 Afu2g05890 Afu1g09090 Afu4g12620 Afu2g07670 Afu1g12150 Afu2g10980 Afu5g02510 Afu6g00550 Afu1g04080 Afu1g16970
"Golgi membrane"	0.355813953488372	1	0.107554375265169	-0.463827600727029	-1.1115582397364	13	Afu2g05860 Afu1g14240 Afu1g12090 Afu4g03040 Afu5g10760 Afu2g12050 Afu1g12150 Afu1g13720 Afu2g15570
"Golgi to plasma membrane protein transport"	0.628640776699029	1	0.077274697304471	-0.426512740245289	-0.880977517949653	7	Afu5g07130 Afu5g11900 Afu2g10980 Afu3g12800 Afu3g06280
"Golgi to plasma membrane transport"	0.995515695067265	1	0.0511147954416412	-0.182836866488762	-0.416580946724433	10	Afu6g11370 Afu1g11730 Afu5g08040 Afu1g12790 Afu4g04810
"Golgi to vacuole transport"	0.723356009070295	1	0.0667426134241917	-0.329319554566959	-0.788026886036263	12	Afu6g13020 Afu2g01570 Afu8g02780 Afu1g06680
"IgE binding"	0.966841186736475	1	0.0409883873374721	0.253816137756283	0.516334139118294	8	Afu4g09580 Afu5g11320
"Ino80 complex"	0.855172413793104	1	0.0593487680335629	-0.302272801155318	-0.680476924644247	9	Afu4g03030 Afu2g06110 Afu1g10280 Afu4g10730 Afu5g01950
"NuA4 histone acetyltransferase complex"	0.888135593220339	1	0.0435378240914002	0.314424298405052	0.619346622584372	7	Afu4g09820 Afu7g01870 Afu5g02570 Afu4g07380 Afu4g10660
P-body	0.230582524271845	1	0.141225119642531	-0.482634128984037	-1.23016125201392	17	Afu2g15210 Afu2g05580 Afu5g12420 Afu5g12250 Afu8g05300 Afu1g12390 Afu2g11800
"Prp19 complex"	0.817551963048499	1	0.0617054053637523	-0.295888174676053	-0.725510606825414	14	Afu5g12910 Afu8g03990 Afu5g13510 Afu4g03640 Afu5g11910 Afu5g06760 Afu2g08870 Afu1g10710 Afu5g08690 Afu6g07300 Afu2g05540 Afu5g03050 Afu4g09800 Afu2g03030
"RNA binding"	0.0402179346468728	1	0.321775918075361	-0.516960316513561	-1.52217491224177	38	Afu1g12570 Afu6g03830 Afu5g12570 Afu2g15210 Afu1g05990 Afu2g09200 Afu3g12280 Afu1g04660 Afu5g04240 Afu6g02440 Afu4g07435 Afu5g05630 Afu3g05600 Afu1g14290 Afu7g04280 Afu1g03820 Afu2g02590 Afu1g11130 Afu6g06335 Afu2g05950 Afu7g04590 Afu2g05670 Afu1g14310 Afu5g01970
"RNA catabolic process"	0.446808510638298	1	0.0946646223153342	-0.516433484142861	-1.03015858101381	6	Afu3g11220 Afu1g07600 Afu4g12250
"RNA helicase activity"	0.525423728813559	1	0.0681513438679483	0.482313752555494	0.950051873174314	7	Afu6g04330 Afu3g10890 Afu4g13330 Afu5g11620 Afu2g13980
"RNA polymerase I activity"	0.633851468048359	1	0.059989249649033	0.454513091162926	0.858529971682361	6	Afu2g13720 Afu4g11970 Afu2g05480
"RNA polymerase I complex"	0.633851468048359	1	0.059989249649033	0.454513091162926	0.858529971682361	6	Afu2g13720 Afu4g11970 Afu2g05480
"RNA polymerase II cis-regulatory region sequence-specific DNA binding"	0.273996509598604	1	0.105920292736253	0.590762330717489	1.20177842965771	8	Afu3g11960 Afu3g00690 Afu3g13920 Afu3g06740 Afu7g05620 Afu3g03315 Afu6g12522
"RNA polymerase II complex binding"	0.70873786407767	1	0.0711327399327894	-0.38676827146008	-0.798883877692895	7	Afu2g11000 Afu2g08550 Afu6g13130 Afu2g11190 Afu8g05490
"RNA polymerase II preinitiation complex assembly"	0.708624708624709	1	0.069119845655101	-0.368322572968029	-0.800703952070937	8	Afu3g08050 Afu6g04810
"RNA polymerase II. core complex"	0.962230215827338	1	0.0425877779273254	0.257542033589174	0.542314267307891	10	Afu1g14680 Afu7g01920 Afu4g11970 Afu2g08540
"RNA polymerase III activity"	0.422033898305085	1	0.0793434960134973	0.535030868358852	1.05389298148185	7	Afu2g13720 Afu4g11970 Afu7g01850
"RNA polymerase III complex"	0.422033898305085	1	0.0793434960134973	0.535030868358852	1.05389298148185	7	Afu2g13720 Afu4g11970 Afu7g01850
"RNA-dependent RNA polymerase activity"	0.881834215167548	1	0.0456790414930062	0.305648104128533	0.632524792251679	9	Afu3g06790 Afu4g11970 Afu5g09430 Afu2g08540
"RSC-type complex"	0.563106796116505	1	0.083129129135339	-0.459004398402233	-0.948090215077319	7	Afu6g07810 Afu4g06120 Afu3g02330
"Rpd3S complex"	0.48013816925734	1	0.0736212741014394	0.533081863594658	1.00693855942698	6	Afu1g09060 Afu5g08840 Afu4g11660 Afu8g05570 Afu4g10660 Afu2g03390
"SAGA complex"	0.548076923076923	1	0.0840745577910723	-0.363724031315011	-0.91253156511	16	Afu5g09080 Afu1g14030 Afu4g12650 Afu1g04590 Afu5g03680 Afu6g12710 Afu2g06060
