"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"gene:AFUA_1G00100";0,328165640649366;-0,659403441273218;2,98705972175206;-0,220753350350306;0,825284488460327;0,955875673055558
"gene:AFUA_1G00110";6,85522950318824;-2,87574272813164;1,27907545736885;-2,24829794955745;0,0245571973842794;0,325934807883188
"gene:AFUA_1G00120";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00130";0,00563725283625605;-0,292961472810567;5,949925259419;-0,0492378408193945;0,960729755211304;NA
"gene:AFUA_1G00150";0,00742425940438767;-0,312744347578392;5,94987983376527;-0,0525631367886765;0,958079988927282;NA
"gene:AFUA_1G00160";0,739119099993548;-2,04563461551368;3,10464807787628;-0,65889420127546;0,509963709781451;0,839195013022035
"gene:AFUA_1G00170";1,72784545111145;-3,0529206852261;3,30503606560287;-0,923717812643361;0,355633255490093;0,765856534937821
"gene:AFUA_1G00180";0,0196325454840491;-0,438841172438003;5,94960397397486;-0,0737597282705892;0,94120157188171;NA
"gene:AFUA_1G00200";27,7182644006808;-7,16174012383051;3,78013592174248;-1,8945721191235;0,0581491114341469;0,452976853803973
"gene:AFUA_1G00210";0,00835803981153696;-0,322787591316925;5,94985699883823;-0,0542513192132102;0,956734934034518;NA
"gene:AFUA_1G00220";0,00742425940438767;-0,312744347578392;5,94987983376527;-0,0525631367886765;0,958079988927282;NA
"gene:AFUA_1G00230";78,9107504633133;-23,0293098866462;3,82620587494337;-6,01883710373715;1,75674545113146e-09;8,42886467452874e-07
"gene:AFUA_1G00250";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00270";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00280";0,149487044091677;-0,691480836506074;5,94911659726121;-0,116232523804359;0,907468261166634;NA
"gene:AFUA_1G00310";0,00726051606648245;-0,31096292153181;5,94988390012437;-0,0522636956874586;0,958318580407516;NA
"gene:AFUA_1G00320";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00330";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00340";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00350";6,66113365261943;-5,09244420015638;5,94241480509363;-0,85696545380698;0,391463977135942;0,782596051687091
"gene:AFUA_1G00400";0,00726051606648245;-0,31096292153181;5,94988390012437;-0,0522636956874586;0,958318580407516;NA
"gene:AFUA_1G00420";18,7686308352424;-1,44744293594232;0,811624758149212;-1,78338933282789;0,0745229484647957;0,490551450664958
"gene:AFUA_1G00440";6,89458824669671;-5,22092008826096;1,98327500415616;-2,63247410334925;0,00847654848441984;0,222851943168473
"gene:AFUA_1G00450";18,8609179729188;-0,617050214478928;1,17515889804848;-0,525078111141929;0,599528891799435;0,877899190360022
"gene:AFUA_1G00470";10,0040150745591;0,977087464642787;1,23613716007173;0,790436123274614;0,429273112917966;0,81056764887068
"gene:AFUA_1G00480";144,110744574214;-1,64324111352097;0,640400051985564;-2,56596030625871;0,0102890601790176;0,234768542591215
"gene:AFUA_1G00490";0,256659238927438;-0,807817510676055;5,12685981078692;-0,15756574989166;0,874798993998299;NA
"gene:AFUA_1G00500";1875,09417461917;-27,333046455736;4,19929267235293;-6,50896438719068;7,56706578882927e-11;6,60123302814597e-08
"gene:AFUA_1G00510";1551,98583183417;-27,0963848937463;4,96215401732892;-5,46060940452873;4,74502971973183e-08;1,37979712698626e-05
"gene:AFUA_1G00520";18,5967353680527;-6,59315627921642;3,52639281815284;-1,86966019363378;0,0615310206162262;0,462665987651265
"gene:AFUA_1G00530";166,50934576875;-24,0423460436897;4,6555947955682;-5,16418354676751;2,41490646256521e-07;5,94190831148095e-05
"gene:AFUA_1G00550";109,463120465366;-6,75945471544432;3,60288366931825;-1,87612349879822;0,0606383236499934;0,460093776323148
"gene:AFUA_1G00560";127,491768063202;-23,6813685371403;4,60316336000971;-5,14458573051606;2,68111795088105e-07;6,43200196416363e-05
"gene:AFUA_1G00580";3,83876005539108;-1,1616030561945;1,64376075026949;-0,706674043655111;0,479769063448478;0,830691014830307
"gene:AFUA_1G00610";12,2069336490743;0,180803595255652;1,10742346871282;0,163265092680222;0,870309717093902;0,969713766484361
"gene:AFUA_1G00630";0,105360975478664;-0,685170944005376;5,94912785235039;-0,115171662302513;0,908309059391676;NA
"gene:AFUA_1G00640";0,00987669428606127;-0,338716819918316;5,94982109358367;-0,0569289083807226;0,954601826091331;NA
"gene:AFUA_1G00650";0,00983976485869129;-0,338335204031537;5,94982194930872;-0,0568647611498436;0,954652925398872;NA
"gene:AFUA_1G00660";0,419990843907003;0,0882215959693168;4,33512514029425;0,0203504150662946;0,98376383869274;0,993914276278747
"gene:AFUA_1G00670";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00690";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00700";0,342000657456141;-1,04918983168435;4,40255688618196;-0,238313747853522;0,811637759239015;0,951554787740695
"gene:AFUA_1G00710";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00720";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00730";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00740";1,12614890969389;-2,55857247409028;3,12574458868917;-0,818548157564997;0,413044255504277;0,796261711725203
"gene:AFUA_1G00750";0,048890414294083;-0,677269476996032;5,94914200698248;-0,113843219106406;0,909362077389742;NA
"gene:AFUA_1G00760";0,00819151380994784;-0,32101075226572;5,94986102763389;-0,0539526470912174;0,956972891400025;NA
"gene:AFUA_1G00770";0,28408202908158;-1,62166380363016;5,94789449899068;-0,272645018149758;0,785126102970642;NA
"gene:AFUA_1G00780";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00790";48,9341330876726;-22,37755571455;4,07359047325628;-5,4933248350471;3,9443631674279e-08;1,22097125660123e-05
"gene:AFUA_1G00800";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00810";2,99224627535024;-4,01968315742477;2,64185266399641;-1,52153949090563;0,12812450900699;0,586152082515968
"gene:AFUA_1G00820";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00830";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00840";0,0866373137641036;-0,521522987945963;5,94943528006906;-0,0876592421625451;0,93014751491174;NA
"gene:AFUA_1G00850";558,244478216893;-25,6987598970512;5,04614945206194;-5,09274648743316;3,52913450801901e-07;7,87571505556985e-05
"gene:AFUA_1G00890";0,497133822893146;-1,63814324308504;4,97009522869497;-0,329599970967794;0,741702244540279;0,929198949430997
"gene:AFUA_1G00910";0,814068642844163;2,8255165154673;3,60679141067238;0,783387835267293;0,43339939747519;0,8133752615154
"gene:AFUA_1G00920";8,04979299654914;2,67684799138327;5,46472789622323;0,489841039154628;0,624246387842215;0,8869098061583
"gene:AFUA_1G00930";0,11060735305282;-0,424369777430711;5,94963443716968;-0,0713270339400195;0,943137480046376;NA
"gene:AFUA_1G00950";2,55943523040899;-3,69548174839028;5,23744156940444;-0,705589112435768;0,480443696956042;0,831245510691169
"gene:AFUA_1G00970";0,0943332536565986;-0,62452938886654;5,94923780854093;-0,10497636990909;0,916394559181356;NA
"gene:AFUA_1G00980";0,195496937602537;2,33678951333262;5,8892432771109;0,396789435140975;0,691522742116539;NA
"gene:AFUA_1G00990";0,0094887183950412;-0,33469356056352;5,94983012620524;-0,0562526246067777;0,955140559121736;NA
"gene:AFUA_1G01000";0;0;0;0;1;NA
"gene:AFUA_1G01010";0,348588953097144;-1,0480902166901;3,79322967244125;-0,276305498795588;0,782313432830003;0,944260468036744
"gene:AFUA_1G01020";0,00726051606648245;-0,31096292153181;5,94988390012437;-0,0522636956874586;0,958318580407516;NA
"gene:AFUA_1G01040";0;0;0;0;1;NA
"gene:AFUA_1G01050";0,279534044557709;-0,876480636771542;5,12779338460373;-0,170927447935634;0,864280813924005;NA
"gene:AFUA_1G01070";2,86237479574163;-3,85920308618728;3,16085001233663;-1,22093837769113;0,222109352349369;0,679210116362189
"gene:AFUA_1G01080";9,68455585124075;-5,6414160736582;3,69573041083503;-1,52646850460706;0,126893228363759;0,58400859151772
"gene:AFUA_1G01090";1,46975391562995;-3,00631086898496;3,01020042423926;-0,998707874989659;0,317936224703831;0,746359238386371
"gene:AFUA_1G01100";3,87880705990051;1,02929498681155;0,679892431449742;1,51390858200431;0,130049027195659;0,588756833868903
"gene:AFUA_1G01110";0,3471442403966;-0,825398660069049;5,94888992521099;-0,138748349767083;0,889649009987753;0,97382628158661
"gene:AFUA_1G01120";0,445321857408876;3,35873990885241;2,8264040675357;1,1883438562204;0,234697966005711;0,688945145852187
"gene:AFUA_1G01130";21,4447581274746;-0,601919828949218;0,716819618650364;-0,839708921586883;0,401071610535569;0,786740330898352
"gene:AFUA_1G01140";26,6791597372072;0,182434422982554;0,608187829121868;0,299963949041799;0,76420465456318;0,937570159797893
"gene:AFUA_1G01160";17,4197085213048;0,106779649272404;0,599837596213753;0,178014265771952;0,858711772215065;0,965902152747373
"gene:AFUA_1G01175";40,8937427710113;5,24420416067251;1,61356825958429;3,2500665091315;0,00115378021350164;0,0756309195596742
"gene:AFUA_1G01180";39,0164886168038;2,05743005730715;0,949898323577652;2,16594766643881;0,0303151862620277;0,356064292987047
"gene:AFUA_1G01190";49,9325767537695;2,47331146058381;1,01144526160347;2,44532408670619;0,0144722029880163;0,263520417216327
"gene:AFUA_1G01200";0,298413887223962;0,148604556222878;2,77959953183652;0,0534625777997211;0,957363346575777;NA
