"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"gene:AFUA_1G00100";0,30555643435615;-0,124374959171691;3,63780583440985;-0,0341895540425037;0,972725996339113;NA
"gene:AFUA_1G00110";3,72757479232445;0,399172971122269;1,05914851988985;0,376881016803746;0,706262029392839;NA
"gene:AFUA_1G00120";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00130";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00150";0,0525657931445882;0,263391194039871;4,934703206667;0,0533752858092899;0,957432896203583;NA
"gene:AFUA_1G00160";0,323164466692625;-0,661759469463626;4,92642541896196;-0,134328526910505;0,89314279644758;NA
"gene:AFUA_1G00170";3,07136500984913;-1,62141756036161;4,7404843702866;-0,342036263324623;0,732323602067626;NA
"gene:AFUA_1G00180";0,068074247355109;-0,156733649226153;4,93358439435718;-0,0317687175687961;0,974656493801959;NA
"gene:AFUA_1G00200";16,8900406824328;0,511651106444553;4,5240183993852;0,113096601577501;0,909953969255297;0,975350991231828
"gene:AFUA_1G00210";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00220";0,246216142524007;-0,337502061456975;4,9331915601913;-0,0684145461085415;0,945455642840417;NA
"gene:AFUA_1G00230";81,1672405741198;-1,43253489345953;2,89127343965173;-0,49546849281474;0,620269457113494;0,870597115007356
"gene:AFUA_1G00250";0,122162316684214;-0,0707394883174688;4,93378862252148;-0,0143377622613505;0,988560512795167;NA
"gene:AFUA_1G00270";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00280";0,0811143093994193;0,263391193368725;4,93470320666495;0,0533752856733069;0,957432896311927;NA
"gene:AFUA_1G00310";0,0773422106584013;1,51291190897563;4,90794453499164;0,308257743784427;0,757886216999412;NA
"gene:AFUA_1G00320";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00330";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00340";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00350";24,4612277905716;-6,42222188347321;4,60329270527278;-1,39513654565502;0,162974667500354;0,559517379574817
