"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"gene:AFUA_1G00100";0,322551360418505;0,0187137415194654;1,08512186480001;0,0172457510317649;0,986240563561613;0,999745536742339
"gene:AFUA_1G00110";5,19154733479066;0,517280056783064;0,397804483989444;1,30033742102512;0,193485347801766;0,983303989306473
"gene:AFUA_1G00120";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00130";0,00272828101742336;-0,147968970908281;2,92320757933886;-0,0506187011672114;0,959629360551233;0,999745536742339
"gene:AFUA_1G00150";0,0323164287945179;-0,301553602857555;2,92241734856434;-0,103186358035308;0,917815066825157;0,999745536742339
"gene:AFUA_1G00160";0,515317679406333;0,0806358214616802;1,4184579154997;0,0568475247524516;0,954666655843628;0,999745536742339
"gene:AFUA_1G00170";2,47812205654915;0,727169548881389;1,36014141885881;0,53462789883386;0,592907187831355;0,999745536742339
"gene:AFUA_1G00180";0,046780794924732;-0,542255511305055;2,92051205529888;-0,185671382633468;0,852702471411911;0,999745536742339
"gene:AFUA_1G00200";21,8555835837529;0,386902643366896;1,50300381804606;0,257419601149036;0,796854873075958;0,999745536742339
"gene:AFUA_1G00210";0,00386544048073217;-0,121894912281023;2,92309124041211;-0,0417006867920542;0,966737306458088;0,999745536742339
"gene:AFUA_1G00220";0,138684413644142;-0,835440549910413;2,92051379438997;-0,286059443210032;0,774832593735052;0,999745536742339
"gene:AFUA_1G00230";80,8385647692998;-0,30675796732468;1,23991444349838;-0,247402527596317;0,804596718240241;0,999745536742339
"gene:AFUA_1G00250";0,0671408413202609;-0,677841993353774;2,92168484899527;-0,232003802048286;0,81653506075898;0,999745536742339
"gene:AFUA_1G00270";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00280";0,11265123561802;0,0558425737276601;2,92100556821317;0,019117585510739;0,984747302784718;0,999745536742339
"gene:AFUA_1G00310";0,0458631861119145;-0,482634635172332;2,92172106936109;-0,165188470670088;0,868795639674546;0,999745536742339
"gene:AFUA_1G00320";0;NA;NA;NA;NA;NA
"gene:AFUA_1G00330";0;NA;NA;NA;NA;NA
