pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"1.3-beta-glucanosyltransferase activity"	0.140115163147793	1	0.163180127180689	0.665236699773674	1.32149731646289	7	Afu8g02130 Afu3g13200 Afu2g01170 Afu6g12410 Afu6g11390 Afu2g05340
"2 iron. 2 sulfur cluster binding"	0.998080614203455	1	0.0438879842863647	0.187084005603894	0.371643674263291	7	Afu3g04300 Afu6g07670
"3'-5'-RNA exonuclease activity"	0.618955512572534	1	0.0665892104103933	0.470867480931007	0.902825988165977	6	Afu3g09880 Afu4g12750 Afu3g11820 Afu4g12250 Afu5g07370
"90S preribosome"	0.0476144240535103	0.909758500478511	0.321775918075361	0.746490248199729	1.48290805377586	7	Afu3g11110 Afu6g13370 Afu6g04590 Afu5g03090 Afu3g04110 Afu3g13280
"ATP binding"	0.98015873015873	1	0.0462302524077616	0.214723079232225	0.584426883890488	27	Afu6g03580 Afu2g15130 Afu5g05570 Afu1g12610 Afu7g02200 Afu6g04050 Afu6g06870 Afu1g07440 Afu5g04170 Afu3g14470 Afu1g14200 Afu2g13410
"ATP export"	0.855534709193246	1	0.0498907356726307	0.328973944166267	0.696402620898571	9	Afu5g06520 Afu2g04720 Afu1g16320 Afu3g14380 Afu5g13890 Afu5g13410 Afu2g11760 Afu4g12290 Afu4g04100
"ATP hydrolysis activity"	0.653846153846154	1	0.0687943095604775	0.279702768856515	0.888552466738143	60	Afu4g09440 Afu6g03580 Afu3g10890 Afu7g05660 Afu5g07020 Afu2g15130 Afu1g09800 Afu8g03930 Afu5g05570 Afu2g09060 Afu5g10890 Afu4g10000 Afu2g09290 Afu7g02200 Afu5g01870 Afu5g02170
"Arp2/3 complex-mediated actin nucleation"	0.220618556701031	1	0.132147260608774	-0.658138823769239	-1.23868974352159	6	Afu6g02370 Afu6g06500 Afu1g13330 Afu5g11560 Afu3g10700 Afu5g01860
"Arp2/3 protein complex"	0.220618556701031	1	0.132147260608774	-0.658138823769239	-1.23868974352159	6	Afu6g02370 Afu6g06500 Afu1g13330 Afu5g11560 Afu3g10700 Afu5g01860
"CMG complex"	0.44100580270793	1	0.0840745577910723	0.53887140257134	1.03321449499746	6	Afu4g11620 Afu5g10890 Afu5g02520 Afu3g14010 Afu4g12430 Afu6g08210
