pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"1.3-beta-glucanosyltransferase activity"	0.903908794788274	1	0.0409055783172035	0.289359102640657	0.577593581286068	7	Afu6g12410 Afu2g05340
"2 iron. 2 sulfur cluster binding"	0.822475570032573	1	0.0452247443372884	0.332436445550453	0.663580842569693	7	Afu6g07670 Afu4g06770 Afu2g14960 Afu4g05950 Afu5g07750 Afu6g12490
"3'-5'-RNA exonuclease activity"	0.345360824742268	1	0.116234148779716	-0.541745558717343	-1.12760365394952	6	Afu3g09880 Afu4g12250
"90S preribosome"	0.00021099626695584	0.00896799250655506	0.518848077743792	-0.890271262492352	-1.92143941321088	7	Afu5g03090 Afu3g04110 Afu3g11110 Afu6g13370 Afu6g04590 Afu3g06010 Afu3g13280
"ATP binding"	0.948529411764706	1	0.0774767547848578	-0.205915534245754	-0.6603927186449	27	Afu6g03580 Afu2g15130 Afu2g15760 Afu4g13440 Afu5g12990 Afu5g11700 Afu5g11810
"ATP export"	0.453580901856764	1	0.100633389423036	-0.432658206044872	-1.01161916851329	9	Afu5g06520
"ATP hydrolysis activity"	0.996389891696751	1	0.0208547494438027	0.164285636893597	0.491909565627241	60	Afu2g15960 Afu1g15270 Afu5g04170 Afu4g09440 Afu2g04620 Afu2g05510 Afu2g09960 Afu2g13410 Afu2g09290 Afu5g03600 Afu5g11010 Afu7g02200 Afu4g09360 Afu1g10410 Afu2g17110 Afu5g07050 Afu3g08000 Afu6g04380 Afu1g03100 Afu5g11130 Afu5g10550
"Arp2/3 complex-mediated actin nucleation"	0.666123778501629	1	0.0549073703290958	0.422351381666157	0.810461553037941	6	Afu5g01860 Afu5g11560 Afu1g13330 Afu3g10700 Afu6g02370 Afu6g06500
"Arp2/3 protein complex"	0.666123778501629	1	0.0549073703290958	0.422351381666157	0.810461553037941	6	Afu5g01860 Afu5g11560 Afu1g13330 Afu3g10700 Afu6g02370 Afu6g06500
"CMG complex"	0.607491856677525	1	0.059221919380382	0.447992031390329	0.859664093146547	6	Afu4g11620 Afu6g08210 Afu4g12430
"COP9 signalosome"	0.774683544303798	1	0.0687943095604775	-0.323610402855686	-0.73097949630663	8	Afu8g05500 Afu4g12630 Afu8g04880 Afu5g07260 Afu8g04440 Afu3g06700 Afu2g16250 Afu3g06610
"COPII-coated ER to Golgi transport vesicle"	0.0775623268698061	0.727603456116417	0.271288554688953	-0.579138049125349	-1.49551938142304	12	Afu6g06620 Afu4g03040 Afu2g10930 Afu6g07290 Afu7g04290 Afu2g16800
