pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"1.3-beta-glucanosyltransferase activity"	0.829827915869981	1	0.0521630305460055	-0.350531547954025	-0.677079785415966	7	Afu8g02130 Afu6g12410 Afu2g05340
"2 iron. 2 sulfur cluster binding"	0.946462715105163	1	0.0461379160269737	-0.275589880110118	-0.532323946237912	7	Afu4g06770 Afu2g14960 Afu6g07670
"3'-5'-RNA exonuclease activity"	0.545833333333333	1	0.0766746872490091	0.458492512536181	0.933708182328959	6	Afu7g00870 Afu4g12250 Afu4g12750 Afu5g07370
"90S preribosome"	0.146137787056367	0.798231609971755	0.166933848713193	0.648073642626584	1.37064353482321	7	Afu3g13280 Afu6g04590 Afu3g04110 Afu5g03090 Afu6g13370 Afu3g06010 Afu3g11110
"ATP binding"	0.988304093567251	1	0.0639271933359996	0.18751138251813	0.569231184861355	27	Afu5g11700 Afu1g13330 Afu1g07440 Afu4g13440 Afu5g05570 Afu4g08300 Afu2g15760 Afu1g12610 Afu6g03580 Afu5g11560 Afu3g09360 Afu2g15130 Afu3g05540 Afu1g14200 Afu3g09850
"ATP export"	0.446623093681917	1	0.0899860794997137	0.444431002284558	1.01296471298036	9	Afu4g12290 Afu5g13890 Afu5g06520 Afu4g04100 Afu3g14380 Afu1g16320
"ATP hydrolysis activity"	0.371559633027523	1	0.154190966581424	0.292114117504806	1.05933879718154	60	Afu5g10890 Afu1g02480 Afu2g09060 Afu4g10000 Afu5g11700 Afu2g11110 Afu8g03930 Afu4g11820 Afu3g10890 Afu2g09290 Afu1g13330 Afu2g02170 Afu4g13440 Afu5g13370 Afu7g03890 Afu2g10140 Afu5g05570 Afu5g07020 Afu4g08300 Afu3g05530 Afu1g09800 Afu5g10550 Afu6g04170 Afu2g17110 Afu8g05320 Afu6g03580 Afu5g07050 Afu5g11130 Afu4g07310 Afu3g09360 Afu2g15130 Afu5g02170 Afu3g09850
"Arp2/3 complex-mediated actin nucleation"	0.291666666666667	0.933908045977011	0.11331290842208	0.597015203926877	1.21580607237796	6	Afu6g02370 Afu1g13330 Afu5g11560 Afu6g06500 Afu3g10700
"Arp2/3 protein complex"	0.291666666666667	0.933908045977011	0.11331290842208	0.597015203926877	1.21580607237796	6	Afu6g02370 Afu1g13330 Afu5g11560 Afu6g06500 Afu3g10700
"CMG complex"	0.141666666666667	0.798231609971755	0.169570644405628	0.679069483298766	1.38290749704647	6	Afu5g10890 Afu4g11620 Afu6g08210 Afu5g02520 Afu3g14010
"COP9 signalosome"	0.268085106382979	0.927229612064174	0.120433371642259	0.550379020004081	1.21430198898242	8	Afu8g04880 Afu2g16250 Afu8g04440 Afu3g06610 Afu5g07260 Afu8g05500 Afu4g12630
"COPII-coated ER to Golgi transport vesicle"	0.34375	1	0.111918316325105	0.454960928089571	1.11455116292267	12	Afu2g16800 Afu6g07290 Afu2g10930 Afu6g06620 Afu4g13190 Afu4g03040 Afu1g11470
"DNA binding"	0.946428571428571	1	0.0668966276500666	0.207233208219153	0.647103439146731	30	Afu3g10920 Afu2g16820 Afu5g04220 Afu2g14080 Afu2g13090 Afu2g05830 Afu7g03860 Afu6g05300 Afu1g03840 Afu6g12330 Afu8g05570 Afu5g07510 Afu4g04390 Afu7g05510
"DNA damage checkpoint signaling"	0.932692307692308	1	0.0573667426768556	0.239051541400863	0.58562209855158	12	Afu1g04950 Afu2g03290 Afu2g09710 Afu7g03750
"DNA damage response"	0.078054381694775	0.644572025052192	0.287805130535564	0.404807804191731	1.34208671254409	40	Afu5g10740 Afu5g03490 Afu7g05440 Afu5g04130 Afu6g10965 Afu6g10980 Afu8g04880 Afu5g12250 Afu1g09950 Afu3g12250 Afu5g09540 Afu2g05850 Afu7g03750 Afu2g12030 Afu4g11070 Afu3g14010
"DNA methylation"	0.3625	1	0.0995791200495904	0.555002237620553	1.13024774954487	6	Afu6g07550 Afu5g01980 Afu1g11090 Afu4g13320 Afu2g03390
"DNA recombination"	0.577083333333333	1	0.0738052724171275	0.436984417559547	0.889907501364933	6	Afu2g10500 Afu2g03210
"DNA repair"	1	1	0.0292811015816512	-0.152847357120949	-0.404173562459814	39	Afu7g02200 Afu5g12600 Afu4g10660 Afu3g06000 Afu5g13220 Afu2g15220 Afu4g10540 Afu1g10410 Afu6g12910 Afu7g01870 Afu7g01280 Afu2g16700 Afu4g04760 Afu1g07000 Afu2g05530 Afu6g11410 Afu1g15120 Afu7g05320 Afu2g12220 Afu4g09820 Afu1g14310 Afu6g14210 Afu4g12210 Afu1g07320 Afu4g06970 Afu4g06830 Afu6g11470 Afu2g06320 Afu2g10730 Afu2g16850 Afu5g02570 Afu2g12030 Afu2g09560 Afu3g08220 Afu2g04960 Afu3g06180 Afu2g09010 Afu3g06780 Afu2g06140
"DNA replication initiation"	0.58455114822547	1	0.0732558655828455	0.426273987099697	0.9015482902738	7	Afu8g04240 Afu2g09060 Afu5g02520 Afu2g17050 Afu5g13020
"DNA replication origin binding"	0.251152073732719	0.926450637954425	0.130777137971974	0.503290797718857	1.22084533629685	11	Afu5g10890 Afu8g04240 Afu2g09060 Afu2g09290 Afu2g03290 Afu1g10720 Afu5g02520 Afu3g14010
"DNA replication preinitiation complex"	0.175946547884187	0.846984363365599	0.156312403073186	0.550802998406291	1.30950035737401	10	Afu5g10890 Afu8g04240 Afu2g09060 Afu4g11620 Afu6g08210 Afu5g02520 Afu3g14010
"DNA strand elongation involved in DNA replication"	0.0961538461538462	0.700280112044818	0.224966093540314	0.580014184402305	1.42090329921685	12	Afu5g10890 Afu2g09060 Afu3g08300 Afu4g07970 Afu6g10560 Afu1g04900 Afu6g05040 Afu3g14010
"DNA translocase activity"	0.883333333333333	1	0.0532386494755899	0.289178724271449	0.588905017257821	6	Afu3g02330 Afu3g05560 Afu7g05510 Afu5g12190 Afu4g13460
"DNA-binding transcription activator activity. RNA polymerase II-specific"	0.805460750853242	1	0.0483117581055019	-0.321451239155275	-0.692733691434431	12	Afu3g11960 Afu3g00690
"DNA-binding transcription factor activity"	0.888563049853372	1	0.0692836467392548	0.234340520629076	0.700710644864749	26	Afu4g14540 Afu6g04570 Afu1g04830 Afu3g12890 Afu5g11070
"DNA-binding transcription factor activity. RNA polymerase II-specific"	0.919694072657744	1	0.0474483193656297	-0.297604790163003	-0.574847509841706	7	Afu3g11960 Afu5g13310 Afu1g15470
"DNA-directed 5'-3' RNA polymerase activity"	0.280623608017817	0.927229612064174	0.120433371642259	0.496434207021429	1.18024188936553	10	Afu2g05480 Afu5g09430 Afu6g04610 Afu1g14110 Afu2g08840
"DNA-directed DNA polymerase activity"	0.202614379084967	0.889860448683978	0.142901149386948	0.566485390494973	1.29115590055731	9	Afu4g07970 Afu3g06780 Afu2g08840 Afu6g10560 Afu5g12640 Afu5g13020 Afu2g16600 Afu2g10730
"DNA-templated DNA replication"	0.41544885177453	1	0.0916795246008379	0.502126673395523	1.0619729507321	7	Afu4g11620 Afu6g08210 Afu5g03450 Afu4g12210 Afu4g12430
"DNA-templated transcription termination"	0.21875	0.923295454545455	0.133554954557592	0.630661250263857	1.28432537838381	6	Afu2g05480 Afu2g11000 Afu5g05680 Afu5g05920 Afu6g02060
"G protein-coupled receptor signaling pathway"	0.589583333333333	1	0.0727141077934447	0.432045417361006	0.879849354782794	6	Afu4g13170 Afu2g12200
"G1/S transition of mitotic cell cycle"	0.629807692307692	1	0.0766746872490091	0.35692416998338	0.874383324301346	12	Afu4g12160 Afu6g07980 Afu7g05620 Afu5g12180 Afu3g05540 Afu5g09360 Afu6g10830 Afu5g06060 Afu6g11470
"G2/M transition of mitotic cell cycle"	0.45852534562212	1	0.0916795246008379	0.411490836367646	0.998163826529887	11	Afu4g12160 Afu6g07980 Afu6g02670 Afu2g13680 Afu5g03610 Afu8g05680
"GPI anchor biosynthetic process"	0.980392156862745	1	0.0373029764832679	-0.208886889481102	-0.471259052693757	15	Afu6g04290 Afu5g06050 Afu3g09740 Afu4g11280
"GTP binding"	0.260416666666667	0.927229612064174	0.137250779610133	0.411547555437049	1.15740372671267	19	Afu1g06390 Afu5g08540 Afu6g13300 Afu2g05740 Afu1g05560 Afu5g03080 Afu2g15570 Afu2g04820 Afu5g11230 Afu4g07580
"GTPase activator activity"	0.853164556962025	1	0.0640703750499722	0.263827530646478	0.724693644508965	17	Afu1g09760 Afu5g07130 Afu1g04580 Afu3g07680 Afu3g09900 Afu5g12180 Afu6g04000 Afu2g09830 Afu3g06280
"GTPase activity"	0.162939297124601	0.846984363365599	0.197822021315103	0.375103341412798	1.23135505408439	36	Afu6g07870 Afu3g14350 Afu6g13300 Afu4g11820 Afu2g05740 Afu8g02840 Afu1g12170 Afu5g13520 Afu3g10340 Afu5g03080 Afu2g15570 Afu5g11230 Afu5g08950 Afu5g14060 Afu1g11730 Afu2g13530 Afu5g03880
"Golgi apparatus"	1	1	0.0799858801499946	0.139966579265323	0.504653452482164	55	Afu4g08800 Afu5g03580 Afu2g10930 Afu5g02510 Afu5g09660 Afu4g10020 Afu1g09090 Afu3g08840 Afu6g06620 Afu1g12310 Afu7g05930 Afu4g03040 Afu4g09520 Afu1g06030 Afu2g01570 Afu1g04080 Afu6g04450 Afu5g04360
"Golgi membrane"	0.447941888619855	1	0.0959206777921745	0.409140357491382	1.0215793880566	13	Afu1g14240 Afu1g12090 Afu2g05860 Afu2g15570 Afu4g03040 Afu1g13720 Afu1g12150
"Golgi to plasma membrane protein transport"	0.960334029227557	1	0.0494904866135495	0.233643676638114	0.494144760367729	7	Afu5g07130 Afu3g12800 Afu3g06280 Afu5g03690 Afu2g10980
"Golgi to plasma membrane transport"	0.909584086799277	1	0.0454059226590179	-0.284505606523955	-0.59484653534465	10	Afu5g01820 Afu6g02920 Afu8g02790 Afu4g04810 Afu6g11370 Afu1g12790 Afu1g11730 Afu3g11040 Afu2g11960 Afu5g08040
"Golgi to vacuole transport"	0.947115384615385	1	0.0566484183613995	0.227977161500816	0.558492377658678	12	Afu5g02510 Afu2g02610 Afu6g13020 Afu3g12800 Afu2g01570
"IgE binding"	0.212406015037594	0.914330528307524	0.128142916898415	-0.639051619308278	-1.28097315762414	8	Afu4g09580
"Ino80 complex"	0.348583877995643	1	0.104732821580651	0.49693752485236	1.13263965529781	9	Afu4g10730 Afu4g03030 Afu2g06110 Afu5g01950 Afu2g10990 Afu4g03020 Afu5g12190 Afu5g06260 Afu1g10280
"NuA4 histone acetyltransferase complex"	0.946462715105163	1	0.0461379160269737	-0.274329970447366	-0.529890329722997	7	Afu4g10660 Afu7g01870 Afu6g04530 Afu4g09820 Afu4g07380 Afu5g02570 Afu2g06110
P-body	0.0860759493670886	0.658227848101266	0.245041785430996	0.516939573018716	1.41995349099418	17	Afu1g12390 Afu5g12250 Afu1g12000 Afu2g11800 Afu2g05580 Afu2g12200 Afu5g13360 Afu4g12750 Afu2g15210
"Prp19 complex"	0.1375	0.790929203539823	0.190023305279108	0.530996267198508	1.36350326423729	14	Afu2g08870 Afu8g03990 Afu5g12910 Afu5g13510 Afu5g08690 Afu4g03640
"RNA binding"	0.000597444300297603	0.0228434585407907	0.477270815362862	0.561508469877826	1.87516241188649	38	Afu5g05630 Afu1g05990 Afu6g02440 Afu2g09200 Afu3g05600 Afu6g03830 Afu1g11130 Afu1g04660 Afu2g05950 Afu3g11010 Afu2g08870 Afu7g04280 Afu4g07435 Afu1g12570 Afu4g13330 Afu3g12280 Afu6g02630 Afu5g04240 Afu2g02590 Afu5g13370
"RNA catabolic process"	0.636015325670498	1	0.0647943366000727	-0.466334635450182	-0.864622063285617	6	Afu2g08750
"RNA helicase activity"	0.231732776617954	0.926450637954425	0.129442887745046	0.606032501599106	1.28172861164818	7	Afu3g10890 Afu4g13330 Afu6g02630 Afu5g11620 Afu2g13980
"RNA polymerase I activity"	0.0366470961530572	0.397010208324786	0.321775918075361	0.759307067954334	1.54630926975765	6	Afu2g05480 Afu2g13720 Afu5g11120 Afu6g04610 Afu1g14110
"RNA polymerase I complex"	0.0366470961530572	0.397010208324786	0.321775918075361	0.759307067954334	1.54630926975765	6	Afu2g05480 Afu2g13720 Afu5g11120 Afu6g04610 Afu1g14110
"RNA polymerase II cis-regulatory region sequence-specific DNA binding"	0.765037593984962	1	0.0551351763385257	-0.360702619512394	-0.723025119598665	8	Afu3g11960 Afu3g00690
"RNA polymerase II complex binding"	0.58455114822547	1	0.0732558655828455	0.428484101735855	0.906222572852229	7	Afu6g07980 Afu2g11000 Afu5g06690 Afu2g08550
"RNA polymerase II preinitiation complex assembly"	0.840425531914894	1	0.0565299525056311	0.304028878883773	0.670779333728825	8	Afu3g10620 Afu3g08050 Afu6g04810 Afu1g14600
"RNA polymerase II. core complex"	0.518930957683742	1	0.0828962134571565	0.397535643474637	0.945116618292174	10	Afu5g11120 Afu1g14110 Afu2g13090 Afu7g03860 Afu4g11970 Afu3g08040 Afu2g08540
"RNA polymerase III activity"	0.0232688192309961	0.297023220393197	0.352487857583619	0.744980565240045	1.57559685837055	7	Afu7g01850 Afu2g13720 Afu5g11120 Afu6g04610 Afu1g14110
"RNA polymerase III complex"	0.0232688192309961	0.297023220393197	0.352487857583619	0.744980565240045	1.57559685837055	7	Afu7g01850 Afu2g13720 Afu5g11120 Afu6g04610 Afu1g14110
