pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"1.3-beta-glucanosyltransferase activity"	0.875923190546529	1	0.037848772270503	-0.34516222128852	-0.650277708357067	7	Afu8g02130 Afu6g12410 Afu2g05340
"2 iron. 2 sulfur cluster binding"	0.970457902511078	1	0.0330162512586498	-0.252289469981437	-0.475307574999677	7	Afu6g07670 Afu2g14960 Afu4g06770
"3'-5'-RNA exonuclease activity"	0.942942942942943	1	0.0675188953767744	0.256234668847097	0.559625064807617	6	Afu5g07370 Afu4g12750 Afu4g12250
"90S preribosome"	0.528803545051699	1	0.0611692626746689	-0.50242625863502	-0.946559547751013	7	Afu5g03090 Afu3g04110 Afu3g11110 Afu6g13370
"ATP binding"	0.98	1	0.0204893625108019	-0.207666550962216	-0.478268138565543	27	Afu6g03580 Afu2g15130
"ATP export"	0.301003344481605	0.826160177271288	0.14551614609036	0.442746831529076	1.1326958003921	9	Afu4g12290 Afu3g14380 Afu2g11760 Afu5g13410 Afu4g04100
"ATP hydrolysis activity"	0.790575916230367	1	0.0260437699289678	-0.300989693973799	-0.731956652388395	60	Afu4g09440 Afu6g03580 Afu7g05660 Afu2g15130 Afu1g02480 Afu6g04170 Afu5g07020 Afu3g10890 Afu2g15960 Afu5g01870
"Arp2/3 complex-mediated actin nucleation"	0.0618542928125267	0.459285898355083	0.321775918075361	0.728127555192151	1.59025487103688	6	Afu1g13330 Afu6g02370 Afu6g06500 Afu5g11560 Afu3g10700 Afu5g01860
"Arp2/3 protein complex"	0.0618542928125267	0.459285898355083	0.321775918075361	0.728127555192151	1.59025487103688	6	Afu1g13330 Afu6g02370 Afu6g06500 Afu5g11560 Afu3g10700 Afu5g01860
"CMG complex"	0.573573573573574	1	0.0940503465727813	0.408219062746404	0.891564051316894	6	Afu6g08210 Afu3g14010 Afu5g10890 Afu4g12430
"COP9 signalosome"	0.0610033277935744	0.459285898355083	0.321775918075361	0.666820389113026	1.63996466880258	8	Afu8g05500 Afu2g16250 Afu3g06610 Afu8g04440 Afu3g06700 Afu4g12630 Afu8g04880
"COPII-coated ER to Golgi transport vesicle"	0.575757575757576	1	0.107972360317345	0.336825728548179	0.929247296607034	12	Afu2g16800 Afu2g10930 Afu4g13190 Afu6g07290 Afu1g11470 Afu2g01530 Afu6g06620
"DNA binding"	0.476923076923077	0.959789120536784	0.178219874951973	0.283150411268865	0.967506954779585	30	Afu2g16820 Afu3g10920 Afu5g04220 Afu2g14080 Afu6g12330 Afu1g03840 Afu2g05830 Afu7g05510 Afu2g12330 Afu3g11610 Afu2g14720 Afu7g03860 Afu6g05300 Afu8g05570
"DNA damage checkpoint signaling"	0.884823848238482	1	0.0333092817548776	-0.301924213350259	-0.625950564379705	12	Afu5g12110 Afu1g07000
"DNA damage response"	0.0732090721611031	0.472930606160726	0.287805130535564	0.357967343226077	1.31029602021741	40	Afu5g03490 Afu5g12250 Afu8g05500 Afu7g05440 Afu1g09950 Afu4g07170 Afu1g13020 Afu2g12030 Afu5g10740 Afu4g06180 Afu3g14010 Afu6g10980 Afu2g05850 Afu7g03750 Afu3g06700 Afu8g04880 Afu5g04130 Afu1g13790 Afu2g12940 Afu4g11070
"DNA methylation"	0.0930930930930931	0.481329197278083	0.257206466468838	0.684852065599193	1.4957397580859	6	Afu6g07550 Afu5g01980 Afu4g13320 Afu1g11090 Afu1g13790
"DNA recombination"	0.558558558558559	1	0.0956031492204301	0.411646965555384	0.899050705407308	6	Afu2g10500 Afu4g06970 Afu3g09850
"DNA repair"	0.836734693877551	1	0.153158808683073	0.2144156001326	0.774845922296686	39	Afu3g06180 Afu2g09560 Afu6g12910 Afu2g12030 Afu2g04960 Afu4g06970 Afu5g12600 Afu2g12220 Afu7g02200 Afu2g06140 Afu2g09010 Afu2g10730 Afu1g10410 Afu2g16850
"DNA replication initiation"	0.310769230769231	0.826160177271288	0.136490437780413	0.501432006575634	1.15585366851843	7	Afu5g13020 Afu2g09060 Afu8g04240 Afu2g14110
"DNA replication origin binding"	0.133333333333333	0.586206896551724	0.237793834423688	0.497369898565743	1.33448115594256	11	Afu1g10720 Afu2g03290 Afu2g09060 Afu8g04240 Afu3g14010 Afu2g10730
"DNA replication preinitiation complex"	0.572413793103448	1	0.102449405629826	0.342578766608693	0.905244879864912	10	Afu6g08210 Afu2g09060 Afu8g04240 Afu3g14010
"DNA strand elongation involved in DNA replication"	0.0905494290824636	0.481329197278083	0.287805130535564	0.532031712844271	1.46778879689718	12	Afu4g07970 Afu2g09060 Afu3g08300 Afu2g12250 Afu1g04900 Afu2g12220 Afu3g14010 Afu6g05040
"DNA translocase activity"	0.594594594594595	1	0.0919686140000427	0.397690106295993	0.868568459180868	6	Afu7g05510 Afu5g12190 Afu3g02330 Afu3g11380
"DNA-binding transcription activator activity. RNA polymerase II-specific"	0.616531165311653	1	0.0499913914024592	-0.420251307856401	-0.871266800416749	12	Afu3g00690 Afu3g11960
"DNA-binding transcription factor activity"	0.64622641509434	1	0.041488040200221	-0.357643070655323	-0.822689341157714	26	Afu4g14540 Afu3g10120 Afu2g14680 Afu2g13380 Afu8g02710 Afu1g04830 Afu4g12470 Afu2g11780
"DNA-binding transcription factor activity. RNA polymerase II-specific"	0.661538461538462	1	0.0873098257637931	0.355612802659879	0.8197250218102	7	Afu5g00135 Afu1g15470
"DNA-directed 5'-3' RNA polymerase activity"	0.860955056179775	1	0.0363018462359236	-0.320581036331976	-0.640333857927816	10	Afu2g15610 Afu7g01920 Afu4g11970 Afu2g08540 Afu1g14110 Afu2g08840 Afu6g04610
"DNA-directed DNA polymerase activity"	0.732441471571906	1	0.0862865626267245	0.307849737005707	0.787583511448073	9	Afu4g07970 Afu5g13020 Afu2g10730 Afu2g16600 Afu6g10560
"DNA-templated DNA replication"	0.606153846153846	1	0.0922597260527354	0.370854043784437	0.85485769031874	7	Afu6g08210 Afu5g03450 Afu4g12430 Afu4g12210
"DNA-templated transcription termination"	0.378378378378378	0.883286871100491	0.120433371642259	0.489519025213915	1.06912588153077	6	Afu5g05920 Afu2g05480 Afu5g05680 Afu2g11000
"G protein-coupled receptor signaling pathway"	0.387387387387387	0.88512295377515	0.118815039412263	0.481414546027609	1.05142542862065	6	Afu4g13170 Afu2g12200
"G1/S transition of mitotic cell cycle"	0.0723259151492	0.471944860468517	0.287805130535564	0.545421210027803	1.50472823770045	12	Afu4g12160 Afu5g09360 Afu5g12180 Afu3g05540 Afu2g14110 Afu7g05620 Afu6g10830
